PageNumber,Type,Room Name,Price,Location,Time,Area,Bedrooms,Bathrooms
1,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,70 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
1,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",34 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
1,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",39 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,40 m2,1 PN,1 WC
1,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,18 triệu,"Quận Bình Thạnh, TPHCM",Hôm nay,30 m2,0 PN,0 WC
1,Nhà,"𝐌Ặ𝐭 𝐭𝐢ề𝐧 𝐓𝐫ầ𝐧 𝐐𝐮ố𝐜 𝐓𝐡ả𝐨, 𝐐𝐮ậ𝐧 𝟑🌸🌸🍑🍑",100 triệu,"Quận 5, TPHCM",Hôm nay,200 m2,0 PN,0 WC
1,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,130 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,2 PN,1 WC
1,Nhà,"Cho thuê Biệt thự tứ lập Mỹ Gia, 5PN, sân vườn rộng ngay Phú mỹ hưng",45 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,306 m2,4 PN,3 WC
1,Nhà,"Cho thuê biệt thự mỹ giang nhà y hinh ,phú mỹ hưng q7,tphcm giá 34tr",30 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,129 m2,3 PN,3 WC
1,Nhà,^^ GIỜI ƠI!TOÀ NHÀ thang máy AN Phú Dtsd 500m2  - HẦM 3L,130 triệu,"Quận 5, TPHCM",Hôm nay,82 m2,8 PN,6 WC
1,Nhà,"Cho thuê nhà dạng biệt thự mini 69/1 Nơ Trang Long, Phường 11, Quận Bì",115 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,150 m2,4 PN,4 WC
1,Nhà,"Cho thuê nhà GÓC 2MT 994 Trần Hưng Đạo, Phường 7, Quận 5, dt: 5 x 17,5",48 triệu,"Quận 7, TPHCM",Hôm nay,88 m2,3 PN,3 WC
1,Nhà,"Cho thuê Biệt thự đơn lập 300m2, có hồ bơi, 5PN ngay Phú mỹ hưng, Q.7",40 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,270 m2,4 PN,3 WC
1,Nhà,"Villa Mới Đẹp , Có Sân Nhỏ Khu Đô Thị AN Phú Giá chỉ 45 Triệu",420 triệu,"Quận 1, TPHCM",Hôm nay,200 m2,3 PN,4 WC
1,Nhà,1 TỪ THÔI!VILLA  An phú quá rẻ quá xịn ngay Mai Chí Thọ ạ,65 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,140 m2,6 PN,5 WC
1,Nhà,"Cho thuê nhà GÓC 2MT 254 Nguyễn Trãi, Phường 3, Quận 5, Hồ Chí Minh.",55 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,36 m2,5 PN,5 WC
2,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,105 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,2 PN,1 WC
2,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",66 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
2,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,70 triệu,"Quận 7, TPHCM",Hôm nay,23 m2,0 PN,0 WC
2,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",14 triệu 500 nghìn,"Quận Bình Thạnh, TPHCM",Hôm nay,23 m2,0 PN,0 WC
2,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",55 triệu,"Quận 7, TPHCM",Hôm nay,40 m2,1 PN,1 WC
2,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,22 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,30 m2,0 PN,0 WC
2,Nhà,"Cho thuê biệt thự mới, khu Nam thiên ngay trường Đinh Thiện Lý, Quận 7",41 triệu,"Quận 7, TPHCM",Hôm nay,220 m2,5 PN,4 WC
2,Nhà,"Biệt Thự Mới Đẹp Khu An Phú 300m2, Hầm 2 Lầu Giá 66 triệu/Tháng",17 triệu,"Quận Phú Nhuận, TPHCM",Hôm nay,300 m2,5 PN,5 WC
2,Nhà,Cho thuê Biệt thự Song lập Hưng Thái 2 Pmh q7 hcm y hình,350 triệu,"Quận 1, TPHCM",Hôm nay,400 m2,5 PN,4 WC
2,Nhà,"Cho thuê nhà 430/2 Lê Quang Định, Phường 11, Quận Bình Thạnh 5x12m, 2L",45 triệu,"Quận 7, TPHCM",Hôm nay,80 m2,3 PN,3 WC
2,Nhà,"Nhà phố đường Phạm Thái Bường, khu Nam Long, Phú Mỹ Hưng cần cho thuê",65 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,126 m2,5 PN,5 WC
2,Nhà,Cho thuê nhà nội bộ Trần Não - Trệt 2 lầu - Giá tốt 22 triệu/tháng,32 triệu,"Quận 7, TPHCM",Hôm nay,68 m2,4 PN,4 WC
2,Nhà,"Cần cho thuê biệt thự Song Lập Mỹ Kim, Phú Mỹ Hưng, Q. 7",33 triệu,"Quận Tân Bình, TPHCM",Hôm nay,220 m2,4 PN,5 WC
2,Nhà,Cho thuê nhà mới 224/4e Phan Đình Phùng P.2 Phú Nhuận - 4x10m 3Lầu 3PN,150 triệu,"Quận 10, TPHCM",Hôm nay,180 m2,3 PN,4 WC
2,Nhà,"Cho thuê nhà 90-92 Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",50 triệu,"Quận 2 (TP. Thủ Đức), TPHCM",Hôm nay,126 m2,10 PN,10 WC
3,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,40 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,2 PN,1 WC
3,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",43 triệu,"Quận 7, TPHCM",Hôm nay,30 m2,0 PN,0 WC
