PageNumber,Type,Room Name,Price,Location,Time,Area,Bedrooms,Bathrooms
1,Căn Hộ,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,6.5,Quận 2 (TP. Thủ Đức),01/11/2024,30,2,1
1,Căn Hộ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",5.3,Quận 7,01/11/2024,30,0,0
1,Căn Hộ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,5.2,Quận 7,01/11/2024,23,0,0
1,Căn Hộ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",5.5,Quận 7,01/11/2024,23,0,0
1,Căn Hộ,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",5.5,Quận 7,01/11/2024,40,1,1
1,Căn Hộ,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,5.0,Quận 7,01/11/2024,30,0,0
1,Căn Hộ,Mới Khai Trương🎀 Ban Công  🎀  Hiện Đại Quận 2🌈,7.5,Quận Tân Bình,01/11/2024,50,1,1
1,Căn Hộ,"Phòng studio,gác ban công mới full nội thất sát lotte quận 7",18.0,Quận 1,01/11/2024,35,1,1
1,Căn Hộ,Căn hộ mới xây giá siêu rẻ full nội thất gác cao siêu đẹp sát q4,25.0,Quận 7,01/11/2024,35,1,1
1,Căn Hộ,Căn hộ mới khai trương đẹp sang phong cách Châu Âu đủ tiện ích,10.0,Quận 5,01/11/2024,35,1,1
1,Căn Hộ,"Cặn hộ ban công, cửa sổ lớn, full nội thất trung tâm quận 7 gần lotte",19.0,Quận 7,01/11/2024,30,1,1
1,Căn Hộ,"Căn hộ studio, 1 phòng ngủ riêng full nội thất  lotte q7",6.0,Quận Tân Bình,01/11/2024,35,1,1
1,Căn Hộ,Căn Hộ Cao Cấp - 1Pn/ ban Công View CV Gia Định,12.5,Quận Bình Thạnh,01/11/2024,45,1,1
1,Căn Hộ,✅ Căn Hộ Cao Cấp 2PN_Decor Ấm Cúng_Nguyễn Đình Chiểu_Quận 1,28.0,Quận 7,01/11/2024,85,2,2
1,Căn Hộ,"Cho Thuê Căn Hộ Nam Phúc, 3pn ,25tr , Phú Mỹ Hưng, Q7",18.0,Quận 7,01/11/2024,110,3,2
2,Căn Hộ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",8.0,Quận Tân Bình,01/11/2024,30,0,0
2,Căn Hộ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,16.0,Quận 2 (TP. Thủ Đức),01/11/2024,23,0,0
2,Căn Hộ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",21.0,Quận 10,01/11/2024,23,0,0
2,Căn Hộ,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",18.0,Quận 7,01/11/2024,40,1,1
2,Căn Hộ,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,5.5,Quận Tân Bình,01/11/2024,30,0,0
2,Căn Hộ,"Cho thuê căn hộ cao cấp Riverpark Premier 123m2, view sông Quận 7",13.0,Quận 3,01/11/2024,123,3,2
2,Căn Hộ,Chung Cư Mini 1PN/Dọn Phòng Hàng Tuần/ Khu Sân Bay,40.0,Quận 7,01/11/2024,45,1,1
2,Căn Hộ,✅ Căn Hộ Cao Cấp 2 Phòng Ngủ_2 Ban Công Phù Hợp Gia Đình_Thảo Điền Q2✅,15.0,Quận 7,01/11/2024,75,2,1
2,Căn Hộ,Cho Thuê Nhiều Căn Hộ 2PN Tại KINGDOM101-21tr full nội thất Quận 10 🏵,25.0,Quận 7,01/11/2024,79,2,2
2,Căn Hộ,"Cho thuê căn hộ 118m2 chung cư Mỹ Khánh 4, đô thị Phú Mỹ Hưng giá cực",7.0,Quận Tân Bình,01/11/2024,118,3,2
2,Căn Hộ,"Căn Hộ Mini - Đối Diện Sân Bay, Tân Sơn Nhất",12.0,Quận Bình Thạnh,01/11/2024,30,1,1
2,Căn Hộ,Căn Hộ Cao Cấp Mới 100%_1PN Ban Công_Japanese Style_Hai Bà Trưng,38.0,Quận 7,01/11/2024,50,1,1
2,Căn Hộ,"Cho thuê Midtown The Peak (M8)- Phú Mỹ Hưng- Quận 7- HCM, 3pn",19.0,Quận 10,01/11/2024,113,3,3
2,Căn Hộ,"Cho thuê căn hộ chung cư cao cấp Hưng Phúc, PMH, Q7, giá chỉ 20tr/thg",16.0,Quận 7,01/11/2024,82,2,2
3,Căn Hộ,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,20.0,Quận 7,01/11/2024,30,2,1
3,Căn Hộ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",12.5,Quận 9 (TP. Thủ Đức),01/11/2024,30,0,0
3,Căn Hộ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,13.0,Quận Tân Phú,01/11/2024,23,0,0
3,Căn Hộ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",6.0,Quận Tân Bình,01/11/2024,23,0,0
3,Căn Hộ,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",25.0,Quận 2 (TP. Thủ Đức),01/11/2024,40,1,1
3,Căn Hộ,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,17.0,Quận 10,01/11/2024,30,0,0
3,Căn Hộ,"Cho thuê CH midtown PMH Q.7 , 2PN, 2wc giá 20 triệu",23.0,Quận 7,01/11/2024,100,2,2
3,Căn Hộ,"Cho thuê shop kinh doanh F&B 120m2 chỉ 12,5 triệu/tháng 6 suất ưu đãi",18.0,Quận 7,01/11/2024,120,1,1
3,Căn Hộ,Căn Hộ Mini - Full Nội Thất - Khu Sân Bay,9.0,Quận Tân Phú,01/11/2024,30,1,1
3,Căn Hộ,✅ Căn Hộ Penthouse 3PN_3WC Ban Công_Gym_Pool_Thảo Điền Quận 2,6.0,Quận Tân Bình,01/11/2024,150,3,3
3,Căn Hộ,"Chuyên cho thuê căn hộ Kingdom 101, Quận 10 - cam kết giá tốt nhất thị",12.5,Quận 1,01/11/2024,78,2,2
