PageNumber,Type,Room Name,Price,Location,Time,Area,Bedrooms,Bathrooms
1,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,70.0,Quận 7,01/11/2024,23,0,0
1,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",34.0,Quận 7,01/11/2024,23,0,0
1,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",39.0,Quận 2 (TP. Thủ Đức),01/11/2024,40,1,1
1,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,18.0,Quận Bình Thạnh,01/11/2024,30,0,0
1,Nhà,"𝐌Ặ𝐭 𝐭𝐢ề𝐧 𝐓𝐫ầ𝐧 𝐐𝐮ố𝐜 𝐓𝐡ả𝐨, 𝐐𝐮ậ𝐧 𝟑🌸🌸🍑🍑",100.0,Quận 5,01/11/2024,200,0,0
1,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,130.0,Quận 7,01/11/2024,30,2,1
1,Nhà,"Cho thuê Biệt thự tứ lập Mỹ Gia, 5PN, sân vườn rộng ngay Phú mỹ hưng",45.0,Quận 2 (TP. Thủ Đức),01/11/2024,306,4,3
1,Nhà,"Cho thuê biệt thự mỹ giang nhà y hinh ,phú mỹ hưng q7,tphcm giá 34tr",30.0,Quận 2 (TP. Thủ Đức),01/11/2024,129,3,3
1,Nhà,^^ GIỜI ƠI!TOÀ NHÀ thang máy AN Phú Dtsd 500m2  - HẦM 3L,130.0,Quận 5,01/11/2024,82,8,6
1,Nhà,"Cho thuê nhà dạng biệt thự mini 69/1 Nơ Trang Long, Phường 11, Quận Bì",115.0,Quận 2 (TP. Thủ Đức),01/11/2024,150,4,4
1,Nhà,"Cho thuê nhà GÓC 2MT 994 Trần Hưng Đạo, Phường 7, Quận 5, dt: 5 x 17,5",48.0,Quận 7,01/11/2024,88,3,3
1,Nhà,"Cho thuê Biệt thự đơn lập 300m2, có hồ bơi, 5PN ngay Phú mỹ hưng, Q.7",40.0,Quận 2 (TP. Thủ Đức),01/11/2024,270,4,3
1,Nhà,1 TỪ THÔI!VILLA  An phú quá rẻ quá xịn ngay Mai Chí Thọ ạ,65.0,Quận 2 (TP. Thủ Đức),01/11/2024,140,6,5
1,Nhà,"Cho thuê nhà GÓC 2MT 254 Nguyễn Trãi, Phường 3, Quận 5, Hồ Chí Minh.",55.0,Quận 2 (TP. Thủ Đức),01/11/2024,36,5,5
2,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,105.0,Quận 7,01/11/2024,30,2,1
2,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",66.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
2,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,70.0,Quận 7,01/11/2024,23,0,0
2,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",14.5,Quận Bình Thạnh,01/11/2024,23,0,0
2,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",55.0,Quận 7,01/11/2024,40,1,1
2,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,22.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
2,Nhà,"Cho thuê biệt thự mới, khu Nam thiên ngay trường Đinh Thiện Lý, Quận 7",41.0,Quận 7,01/11/2024,220,5,4
2,Nhà,"Biệt Thự Mới Đẹp Khu An Phú 300m2, Hầm 2 Lầu Giá 66 triệu/Tháng",17.0,Quận Phú Nhuận,01/11/2024,300,5,5
2,Nhà,"Cho thuê nhà 430/2 Lê Quang Định, Phường 11, Quận Bình Thạnh 5x12m, 2L",45.0,Quận 7,01/11/2024,80,3,3
2,Nhà,"Nhà phố đường Phạm Thái Bường, khu Nam Long, Phú Mỹ Hưng cần cho thuê",65.0,Quận 2 (TP. Thủ Đức),01/11/2024,126,5,5
2,Nhà,Cho thuê nhà nội bộ Trần Não - Trệt 2 lầu - Giá tốt 22 triệu/tháng,32.0,Quận 7,01/11/2024,68,4,4
2,Nhà,"Cần cho thuê biệt thự Song Lập Mỹ Kim, Phú Mỹ Hưng, Q. 7",33.0,Quận Tân Bình,01/11/2024,220,4,5
2,Nhà,Cho thuê nhà mới 224/4e Phan Đình Phùng P.2 Phú Nhuận - 4x10m 3Lầu 3PN,150.0,Quận 10,01/11/2024,180,3,4
2,Nhà,"Cho thuê nhà 90-92 Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",50.0,Quận 2 (TP. Thủ Đức),01/11/2024,126,10,10
3,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,40.0,Quận 7,01/11/2024,30,2,1
3,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",43.0,Quận 7,01/11/2024,30,0,0
3,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,14.5,Quận Bình Thạnh,01/11/2024,23,0,0
3,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",90.0,Quận Thủ Đức (TP. Thủ Đức),01/11/2024,23,0,0
3,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",110.0,Quận 7,01/11/2024,40,1,1
3,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,60.0,Quận 2 (TP. Thủ Đức),01/11/2024,30,0,0
3,Nhà,"Cho thuê biệt thự tại khu dân cư Phú Mỹ - Vạn Phát Hưng, Quận 7",40.0,Quận 7,01/11/2024,220,6,6
3,Nhà,"Cần cho thuê nhà phố kinh doanh, tại Phú Mỹ Hưng, Q7.",19.0,Quận 10,01/11/2024,111,5,6
3,Nhà,"Cho thuê Nhà số 801/7 Xô Viết Nghệ Tĩnh, P.26, Bình Thạnh. - 1Lầu 2PN",250.0,Quận Bình Thạnh,01/11/2024,150,2,2
3,Nhà,"Cho thuê nhà GÓC 2MT 234 Tô Ngọc Vân, Phường Linh Đông, Quận Thủ Đức",125.0,Quận 7,01/11/2024,308,1,1
3,Nhà,"Biệt thự đơn lập có hồ bơi, 5PN, 300m2 ngay trường Đinh Thiện Lý, Q.7",30.0,Quận 2 (TP. Thủ Đức),01/11/2024,300,5,5
3,Nhà,Villa Cao Cấp - Hầm 4 Lầu - Nội Thất Cao Cấp - Giá Rẻ Hơn Thị Trường,49.0,Quận 7,01/11/2024,200,6,5
3,Nhà,"Cho thuê nhà 407/7 Sư Vạn Hạnh, P12, Quận 10 , ngang 4m x20m",200.0,Quận Gò Vấp,01/11/2024,80,2,2
3,Nhà,"Cho thuê nhà Góc 2MT 183 Nơ Trang Long, Phường 12, Q.Bình Thạnh,HCM",65.0,Quận 2 (TP. Thủ Đức),01/11/2024,200,7,7
4,Nhà,HiFriendz đơn vị tư vấn phòng cho thuê tại TPHCM.,45.0,Quận 7,01/11/2024,30,2,1
4,Nhà,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",33.2,Quận 7,01/11/2024,30,0,0
4,Nhà,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,20.0,Quận 3,01/11/2024,23,0,0
4,Nhà,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",130.0,Quận Tân Bình,01/11/2024,23,0,0
4,Nhà,"Cho Thuê Căn Studio Full Nột Thất Gần ĐH Văn Hiến, Chung Cư Bàu Cát",40.0,Quận 7,01/11/2024,40,1,1
4,Nhà,Cho Thuê Phòng Trọ Cao Cấp Full Nội Thất Ngay Chung Cư Bàu Cát,14.5,Quận Phú Nhuận,01/11/2024,30,0,0
4,Nhà,"Cho thuê nhà phố Hưng Gia - Hưng Phước, Phú Mỹ Hưng, Quận 7",250.0,Quận 1,01/11/2024,111,5,6
4,Nhà,"Cần cho thuê nguyên căn nhà phố Hưng Gia, Hưng Phước , gía 33.2 tr .",146.0,Quận 2 (TP. Thủ Đức),01/11/2024,111,5,6
4,Nhà,"Cho thuê nhà 315/5A Lê Văn Sỹ, Phường 13, Quận 3, chính chủ, rộng 4m",25.0,Quận 2 (TP. Thủ Đức),01/11/2024,250,4,3
4,Nhà,"Cho thuê nhà mặt tiền số 109-111 đường Bàu Cát, Phường 14, Q.Tân Bình",42.0,Quận 7,01/11/2024,144,6,6
4,Nhà,"Cho thuê biệt thự song lập, KDC Phú Mỹ Vạn Phát Hưng , quận 7.",14.5,Quận Phú Nhuận,01/11/2024,220,5,5
4,Nhà,Cho thuê nhà 94A/7 Trần Khắc Chân - Phường 9 - Q.Phú Nhuận/ 4pn,330.0,Quận 1,01/11/2024,60,4,3
4,Nhà,"Cho thuê nhà 187A Cống Quỳnh, P.Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",28.0,Quận 2 (TP. Thủ Đức),01/11/2024,220,2,2
4,Nhà,Cho Thuê Tòa Văn Phòng Trần Não 7x30m Sàn Trống Suốt - Giá 146 Triệu,60.0,Quận 2 (TP. Thủ Đức),01/11/2024,210,0,3
4,Nhà,S.O.S. Nhà phố Q2 mới xây 100% đẹp hú hồn chim én 25TR BÀ CON ƠIII,28.0,Quận Tân Bình,01/11/2024,100,3,4
