PageNumber,Type,Room Name,Price,Location,Time,Area,Bedrooms,Bathrooms
1,Phòng trọ - Nhà trọ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",3.9,Quận 9 (TP. Thủ Đức),01/11/2024,30,0,0
1,Phòng trọ - Nhà trọ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,2.2,Quận 7,01/11/2024,23,0,0
1,Phòng trọ - Nhà trọ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",2.8,Quận 7,01/11/2024,23,0,0
1,Phòng trọ - Nhà trọ,"PHÒNG CĂN HỘ MINI 1PN, khu bếp riêng 140 Phạm Văn Chiêu, P14, Q.Gò Vấp",4.6,Quận Gò Vấp,01/11/2024,25,0,0
1,Phòng trọ - Nhà trọ,"Cho thuê Phòng CH Duplex – Đủ NT thông hẻm 69 D2, P.25, Q. Bình Thạnh.",4.6,Quận Gò Vấp,01/11/2024,22,0,0
1,Phòng trọ - Nhà trọ,"Phòng gác 1m8 mới xây gần Đỗ Xuân Hợp,CĐ Công Thương, ngã tư Bình Thái",4.3,Quận 12,01/11/2024,35,0,0
1,Phòng trọ - Nhà trọ,"Phòng trọ riêng biệt, giờ giấc tự do, khu ở an ninh, thoáng mát",4.3,Quận 12,01/11/2024,16,0,0
1,Phòng trọ - Nhà trọ,"Phòng trọ quận 7,nhiều cơ sở từ 2tr8",4.3,Quận Tân Bình,01/11/2024,25,0,0
1,Phòng trọ - Nhà trọ,"Khai Trương Căn Hộ 30m2, Gác Cao, Ban Công - Cửa Sổ Thoáng",4.3,Quận Tân Bình,01/11/2024,30,0,0
1,Phòng trọ - Nhà trọ,"Căn Hộ Rộng 30m2, Gác Cao, Sẵn Nội Thất Ngay Nguyễn Thái Sơn, Gò Vấp",4.3,Quận Tân Bình,01/11/2024,30,0,0
1,Phòng trọ - Nhà trọ,"Căn Hộ Mới 100%, Sẵn Nội Thất, Gác Cao Đứng Được ngay Dương Quảng Hàm",5.0,Quận Gò Vấp,01/11/2024,28,0,0
1,Phòng trọ - Nhà trọ,"Căn Hộ Cao Cấp, Full Nội Thất, Free Hồ Bơi, Phòng Gym ngay Tô Ký",5.0,Quận Gò Vấp,01/11/2024,30,0,0
2,Phòng trọ - Nhà trọ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",6.5,Quận Tân Phú,01/11/2024,30,0,0
2,Phòng trọ - Nhà trọ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,4.2,Quận Tân Phú,01/11/2024,23,0,0
2,Phòng trọ - Nhà trọ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",4.5,Quận Bình Tân,01/11/2024,23,0,0
2,Phòng trọ - Nhà trọ,"Căn Hộ Cao Cấp, Mới Xây 100%, Đầy Đủ Nội Thất, Ban Công Riêng",3.2,Quận 6,01/11/2024,30,0,0
2,Phòng trọ - Nhà trọ,"Phòng ban công lớn, full nội thât, mới xây, ngay mặt tiền đường",2.8,Quận Tân Phú,01/11/2024,30,0,0
2,Phòng trọ - Nhà trọ,"Phòng Tân Phú giá rẻ, penthouse, ban công, full nội thất",0.9,Quận 5,01/11/2024,25,0,0
2,Phòng trọ - Nhà trọ,"Phòng mới xây, có gác, ban công ngay Thoại Ngọc Hầu",2.8,Quận Bình Tân,01/11/2024,25,0,0
2,Phòng trọ - Nhà trọ,📢📢 Phòng Siêu Rộng - Cửa Sổ Lớn - Bếp Tách Rộng Rãi,0.9,Quận Phú Nhuận,01/11/2024,40,0,0
2,Phòng trọ - Nhà trọ,📢📢 Trống 2 Phòng Rộng Thoáng - Có sẵn máy lạnh - Mới Làm lại Sạch Sẽ,2.8,Quận Tân Phú,01/11/2024,30,0,0
2,Phòng trọ - Nhà trọ,📢📢 Mình Còn Trống 2 Phòng Rộng Thoáng - Có sẵn máy lạnh,2.8,Quận Bình Tân,01/11/2024,35,0,0
2,Phòng trọ - Nhà trọ,📢📢 Phòng Mới Ban Công Nhỏ Chill - Có Ưu Đãi Cho Tháng 11,0.9,Quận 10,01/11/2024,25,0,0
3,Phòng trọ - Nhà trọ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",1.2,Quận 5,01/11/2024,30,0,0
3,Phòng trọ - Nhà trọ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,3.8,Quận Tân Phú,01/11/2024,23,0,0
3,Phòng trọ - Nhà trọ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",1.2,Quận 10,01/11/2024,23,0,0
3,Phòng trọ - Nhà trọ,😱 DÃY PHÒNG 1 TRỆT 1 LẦU 😱 Ban Công Siêu Thoáng,3.2,Quận 6,01/11/2024,40,0,0
3,Phòng trọ - Nhà trọ,😱 Trọ NGUYÊN CĂN - MỚI 100% 😱 Ngay Ngã Tư 4 Xã - 1 Trệt 1 Lầu,3.49,Quận Tân Phú,01/11/2024,40,0,0
3,Phòng trọ - Nhà trọ,😱[ 🔥DỰ ÁN HOT🔥 ]😱 Phòng BACOL Siu Thoáng - Tiện Nghi Đầy Đủ,5.5,Quận Bình Thạnh,01/11/2024,30,0,0
3,Phòng trọ - Nhà trọ,😱[ GIÁ TỐT ]😱 Phòng Sẵn Máy Lạnh - Rộng Rãi - Quận 6,0.95,Quận Phú Nhuận,01/11/2024,30,0,0
4,Phòng trọ - Nhà trọ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",0.95,Quận 11,01/11/2024,30,0,0
4,Phòng trọ - Nhà trọ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,4.2,Quận 7,01/11/2024,23,0,0
4,Phòng trọ - Nhà trọ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",0.95,Quận 10,01/11/2024,23,0,0
4,Phòng trọ - Nhà trọ,Căn Hộ 2PN - Bancol thoáng ngay trục đường Điện Biên Phủ - Hàng Xanh,0.95,Quận 10,01/11/2024,40,0,0
4,Phòng trọ - Nhà trọ,😱[ New - Full Nội Thất - View Bancol Siêu Thoáng]😱,5.0,Quận Tân Bình,01/11/2024,30,0,0
4,Phòng trọ - Nhà trọ,💫Phòng Mới Toanh Ngập Tràn Ánh Sáng-Gần Lotte Mart Quận 7,5.3,Quận Bình Thạnh,01/11/2024,30,0,0
4,Phòng trọ - Nhà trọ,💥Cho Thuê Gác Lửng Mới Xây Tiện Nghi-Gần Ngã Tư Bảy Hiền,1.5,Quận Phú Nhuận,01/11/2024,30,0,0
5,Phòng trọ - Nhà trọ,"PHÒNG MỚI XÂY 100% Có Gác Lửng Rất Rộng-Cao, Tủ Kệ bếp,.Giờ giấc tự do",2.7,Quận Tân Phú,01/11/2024,30,0,0
5,Phòng trọ - Nhà trọ,CĂN HỘ Chính chủ CÓ Ban Công MỚI 100% Gần ĐH TÀI CHÍNH MARKETING,3.3,Quận Bình Tân,01/11/2024,23,0,0
5,Phòng trọ - Nhà trọ,"CĂN HỘ MỚI 100% CÓ BAN CÔNG, Gần ĐH Tài Chính Marketing, Khu CNC Q9",2.7,Quận Tân Phú,01/11/2024,23,0,0
5,Phòng trọ - Nhà trọ,Căn hộ có gác full nội thất rộng 40m2 ngay ngả tư phú nhuận,4.0,Quận Tân Phú,01/11/2024,40,0,0
5,Phòng trọ - Nhà trọ,Phòng Có Gác Cao 2M ngay Lê Văn Quới - Hương Lộ 2,8.0,Quận 7,01/11/2024,25,0,0
